"","Arr","Sites","Quantity","Private","Type","Side","Date","UWS_subj","str_seedling","str_reproduction","str_dead","str_decomposition","str_strata","str_colours","spa_topography","spa_ distribution","spa_margins","spa_artifacts","spa_perception","ant_limiting","ant_pruning","ant_structures","ant_planting","ant_litter","Complexity - cumulative","Spatial - cumulative","Management - cumulative","Total wildness - cumulative","Complexity","Spatial","Management","Total wildness","Comments","Issues encountered","ID_site","geometry","fid","code_insee","code_iris","X_code_dep","X_nom_iris","X_type_iris","X_revenus_m","X_pop_tot21","X_pop_fr21","X_pop_etr21","X_pop_imm21","X_area_iris","X_id_row","X_area_TV_b","X_.area_TV_","revenus_me","X_d_iris_GI","X_d_iris_un"
"65","7e",21,1,0,"2","Odd","June 2022",3,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,6,1,2,9,5,1,2,2.66666666666667,NA,NA,"7E_21",c(649322.371416717, 6861669.39659264),14663,"75107","751072705","75","École Militaire 5","H",68670,1795,1571,224,306,113308,2183,32100,28,54890,0.646,0.9
"66","7e",22,0,0,"1","Even","June 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,"Encore une fois, terre plein non piéton, donc prend le trottoir",NA,"7E_22",c(648664.492278192, 6862289.00833271),14688,"75107","751072808","75","Gros Caillou 8","H",59570,1540,1357,182,225,59934,2192,7081,12,54890,0.646,0.9
"67","7e",23,0,1,"1","both","May 2024",2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,NA,NA,"7E_23",c(648716.003724185, 6862057.25722335),14686,"75107","751072806","75","Gros Caillou 6","H",77180,1785,1507,279,386,109694,2190,41984,38,54890,0.646,0.9
"68","7e",24,0,0,"1","Even","June 2022",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,NA,NA,"7E_24",c(650127.160317044, 6862583.14261039),14640,"75107","751072604","75","Invalides 4","H",58780,1176,992,185,251,159871,2178,26164,16,54890,0.646,0.9
"69","7e",25,1,0,"2","(Odd)","June 2024",3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,5,1,1,7,4.16666666666667,1,1,2.05555555555556,"Terre-plein semblant non piéton (marche difficile), mais avec des bancs… donc ok",NA,"7E_25",c(648844.563669357, 6862489.79883505),14689,"75107","751072809","75","Gros Caillou 9","H",52430,1540,1297,243,327,125573,2193,30652,24,54890,0.646,0.9
"70","7e",26,1,0,"2","/","May 2022",2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,6,1,1,8,5,1,1,2.33333333333333,NA,NA,"7E_26",c(648344.092401835, 6861904.88218943),14687,"75107","751072807","75","Gros Caillou 7","H",74290,1734,1498,237,337,107901,2191,39473,37,54890,0.646,0.9
"71","7e",27,1,1,"2","/","May 2022",3,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,5,1,3,9,4.16666666666667,1,3,2.72222222222222,NA,NA,"7E_27",c(648274.062303034, 6862033.38624817),14687,"75107","751072807","75","Gros Caillou 7","H",74290,1734,1498,237,337,107901,2191,39473,37,54890,0.646,0.9
"72","7e",28,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"GRIS mais proche d'un parc, très proche donc de quelques végétation spontannée",NA,"7E_28",c(650481.632426714, 6861392.4962737),14568,"75106","751062309","75","Notre-Dame des Champs 9","H",39660,2249,1902,347,478,80930,2164,6875,8,47878,0.67,1.1
"73","7e",29,0,0,"1","Odd","July 2022",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,"une seule petite plante spontannée",NA,"7E_29",c(648442.204095335, 6862457.78186402),14689,"75107","751072809","75","Gros Caillou 9","H",52430,1540,1297,243,327,125573,2193,30652,24,54890,0.646,0.9
"74","7e",30,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"7E_30",c(649975.867270045, 6862140.76133942),14628,"75107","751072601","75","Invalides 1","H",55100,1810,1563,247,323,163461,2175,33311,20,54890,0.646,0.9
"75","19e",1,NA,NA,NA,"(Even)",NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"19E_1",c(654956.066522595, 6864059.23245023),15482,"75119","751197601","75","Combat 1","H",30940,2522,2174,348,445,62599,2850,11777,19,23713,0.495,4.7
"76","19e",2,1,0,"2","(Odd)","October 2025",1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,4,0,2,6,3.33333333333333,0,2,1.77777777777778,NA,NA,"19E_2",c(655030.390395289, 6865790.05442989),15457,"75119","751197411","75","Pont de Flandre 11","H",27130,2756,2482,274,562,140938,2825,43959,31,23713,0.495,4.7
"77","19e",3,NA,NA,NA,"Even",NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"19E_3",c(655045.367347296, 6864224.22702436),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"78","19e",4,NA,NA,NA,"Odd",NA,3,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,6,3,2,11,5,3,2,3.33333333333333,NA,NA,"19E_4",c(654918.759991844, 6864260.79530226),15482,"75119","751197601","75","Combat 1","H",30940,2522,2174,348,445,62599,2850,11777,19,23713,0.495,4.7
"79","19e",5,NA,NA,NA,"Even",NA,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,4,1,1,6,3.33333333333333,1,1,1.77777777777778,NA,NA,"19E_5",c(655027.808585887, 6864324.44371533),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"80","19e",6,NA,NA,NA,"(Even)",NA,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1.66666666666667,0,1,0.888888888888889,NA,NA,"19E_6",c(655097.388326254, 6864406.19216832),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"81","19e",7,NA,NA,NA,"(Even)",NA,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,4,1.66666666666667,0,2,1.22222222222222,NA,NA,"19E_7",c(654977.212425484, 6864420.46927453),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"82","19e",8,NA,NA,NA,"Odd",NA,3,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,4,2,2,8,3.33333333333333,2,2,2.44444444444444,NA,NA,"19E_8",c(654916.610078896, 6864549.93345035),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"83","19e",9,NA,NA,NA,"Odd",NA,3,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,4,2,2,8,3.33333333333333,2,2,2.44444444444444,NA,NA,"19E_9",c(655102.253681314, 6864560.72326335),15483,"75119","751197602","75","Combat 2","H",32600,5067,4547,520,732,127180,2851,28586,22,23713,0.495,4.7
"84","19e",10,NA,NA,NA,"(Even)",NA,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,4,0,2,6,3.33333333333333,0,2,1.77777777777778,NA,NA,"19E_10",c(655267.696559531, 6864615.04328527),15472,"75119","751197515","75","Amérique 15","H",36590,2054,1792,262,363,41948,2840,8688,21,23713,0.495,4.7
"85","19e",11,NA,NA,NA,"(Even)",NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,3,7,2.5,1,3,2.16666666666667,NA,NA,"19E_11",c(655384.935533364, 6864600.7947855),15471,"75119","751197514","75","Amérique 14","H",38780,3163,2839,324,387,156014,2839,41783,27,23713,0.495,4.7
"86","19e",12,NA,NA,NA,"(Even)",NA,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,2,2,3,7,1.66666666666667,2,3,2.22222222222222,NA,NA,"19E_12",c(655465.593116619, 6864693.58252107),15471,"75119","751197514","75","Amérique 14","H",38780,3163,2839,324,387,156014,2839,41783,27,23713,0.495,4.7
"87","19e",13,NA,NA,NA,"Odd",NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,NA,NA,"19E_13",c(655527.103801756, 6864776.51037398),15471,"75119","751197514","75","Amérique 14","H",38780,3163,2839,324,387,156014,2839,41783,27,23713,0.495,4.7
"88","19e",14,NA,NA,NA,"(Even)",NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,4,1.66666666666667,0,2,1.22222222222222,NA,NA,"19E_14",c(655455.048038684, 6864848.23273741),15471,"75119","751197514","75","Amérique 14","H",38780,3163,2839,324,387,156014,2839,41783,27,23713,0.495,4.7
"89","19e",15,NA,NA,NA,"(Even)",NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,3,7,2.5,1,3,2.16666666666667,NA,NA,"19E_15",c(655496.868019941, 6864945.76799081),15474,"75119","751197517","75","Amérique 17","H",16780,3833,3217,616,1115,62492,2842,16396,26,23713,0.495,4.7
"90","19e",16,NA,NA,NA,"Even",NA,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,3,2,2,7,2.5,2,2,2.16666666666667,NA,NA,"19E_16",c(655616.385698347, 6865038.25951348),15474,"75119","751197517","75","Amérique 17","H",16780,3833,3217,616,1115,62492,2842,16396,26,23713,0.495,4.7
"91","19e",17,NA,NA,NA,"Odd",NA,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,1,2,7,3.33333333333333,1,2,2.11111111111111,NA,NA,"19E_17",c(655689.564217419, 6865113.31578648),15475,"75119","751197518","75","Amérique 18","H",13570,3232,2571,661,1003,69654,2843,13743,20,23713,0.495,4.7
"92","19e",18,NA,NA,NA,"(Even)",NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,2,6,2.5,1,2,1.83333333333333,NA,NA,"19E_18",c(655673.53198076, 6865222.41559894),15475,"75119","751197518","75","Amérique 18","H",13570,3232,2571,661,1003,69654,2843,13743,20,23713,0.495,4.7
"93","19e",19,NA,NA,NA,"Odd",NA,2,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,3,2,3,8,2.5,2,3,2.5,NA,NA,"19E_19",c(655549.858055982, 6865161.09101091),15474,"75119","751197517","75","Amérique 17","H",16780,3833,3217,616,1115,62492,2842,16396,26,23713,0.495,4.7
"94","19e",20,1,0,"2","Even",NA,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1.66666666666667,0,1,0.888888888888889,NA,NA,"19E_20",c(655263.77552882, 6865246.69509434),15477,"75119","751197520","75","Amérique 20","H",25490,3347,2948,399,770,85726,2845,23033,27,23713,0.495,4.7
"95","19e",21,1,0,"2","/",NA,4,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,5,3,4,12,4.16666666666667,3,4,3.72222222222222,NA,NA,"19E_21",c(654712.116685669, 6866629.88791397),806,"75119","751197413","75","Pont de Flandre 13","A",19500,2513,2083,430,584,284463,119,32393,11,23713,0.495,4.7
"96","19e",22,1,1,"1","Odd",NA,3,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,4,2,2,8,3.33333333333333,2,2,2.44444444444444,NA,NA,"19E_22",c(654790.56146327, 6864187.29038284),15482,"75119","751197601","75","Combat 1","H",30940,2522,2174,348,445,62599,2850,11777,19,23713,0.495,4.7
"97","19e",23,0,0,"1","Even",NA,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,2,2,3,7,1.66666666666667,2,3,2.22222222222222,NA,NA,"19E_23",c(654427.212592079, 6865643.53627875),15443,"75119","751197314","75","Villette 14","H",19180,2571,2034,538,755,89612,2811,13224,15,23713,0.495,4.7
"98","19e",24,1,0,"2","(Even)",NA,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"19E_24",c(655436.23964885, 6864310.16641197),15466,"75119","751197509","75","Amérique 9","H",15630,1987,1684,303,556,30098,2834,8553,28,23713,0.495,4.7
"99","19e",25,1,0,"2","/",NA,4,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,6,3,3,12,5,3,3,3.66666666666667,"Area under construction, looks abandoned , very accidented ground",NA,"19E_25",c(655069.273799849, 6866926.24007033),15447,"75119","751197401","93","Pont de Flandre 1","H",17190,1796,1053,743,868,609007,2815,92970,15,23713,0.495,4.7
"100","19e",26,1,0,"2","/",NA,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,4.16666666666667,0,1,1.72222222222222,NA,NA,"19E_26",c(655886.042876984, 6864623.64398259),15470,"75119","751197513","75","Amérique 13","H",16960,2428,1949,479,720,113355,2838,55371,49,23713,0.495,4.7
"101","19e",27,0,0,"1","/",NA,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,2,4,0.833333333333333,1,2,1.27777777777778,"On the side of the point, almost nothing. But across the road, there's a ""terre-plein"" that is mowed, with trees. Because it is not a ""walkable"" street, I counted the side with almost nothing.",NA,"19E_27",c(655774.176380419, 6865725.38833904),15447,"75119","751197401","93","Pont de Flandre 1","H",17190,1796,1053,743,868,609007,2815,92970,15,23713,0.495,4.7
"102","19e",28,1,0,"2","/",NA,3,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,6,2,2,10,5,2,2,3,"Grand boulevard, avec un terre-plein piétion au centre, ce que je vais prendre puisque qu'il y a une zone amménagée",NA,"19E_28",c(653998.252169361, 6864169.06546134),15489,"75119","751197608","75","Combat 8","H",24460,2872,2461,411,728,64132,2857,18914,29,23713,0.495,4.7
"103","19e",29,1,0,"2","/",NA,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,0,2,5,2.5,0,2,1.5,NA,NA,"19E_29",c(653720.697125412, 6865049.76387557),1137,"75119","751197388","75","Bassin de la Villette","D",NA,0,0,0,0,140330,174,36778,26,23713,0.495,4.7
"104","19e",30,1,0,"2","/",NA,2,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,4,1,5,10,3.33333333333333,1,5,3.11111111111111,"Point au centre d'uncarrefour, choisit arbitrairement la route allant vers le Sud",NA,"19E_30",c(655861.682940103, 6865276.57891538),15476,"75119","751197519","93","Amérique 19","H",17020,1822,1447,374,533,300660,2844,97895,33,23713,0.495,4.7
"105","19e",31,0,0,"2","(Odd)",NA,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,0,2,6,3.33333333333333,0,2,1.77777777777778,NA,NA,"19E_31",c(655272.198495577, 6864913.02670631),15473,"75119","751197516","75","Amérique 16","H",14320,1486,1012,474,603,44418,2841,11158,25,23713,0.495,4.7
"106","19e",32,1,0,"2","/",NA,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,1,2,6,2.5,1,2,1.83333333333333,"Des parcs entretenus sur les côtés de la petite route",NA,"19E_32",c(656402.805063565, 6864388.43362293),807,"75119","751197525","75","Amérique 25","A",NA,559,451,108,126,140797,120,46743,33,23713,0.495,4.7
"107","19e",33,1,0,"2","/",NA,2,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,5,1,2,8,4.16666666666667,1,2,2.38888888888889,NA,NA,"19E_33",c(655451.161539892, 6866535.19149759),15447,"75119","751197401","93","Pont de Flandre 1","H",17190,1796,1053,743,868,609007,2815,92970,15,23713,0.495,4.7
"108","19e",34,0,0,"2","Even","March 2023",1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2,1,3,6,1.66666666666667,1,3,1.88888888888889,"Only grown trees. The most recent street view is from march, avec there's no flowers, fruit of leaves. But if we look at june, the trees are flowering. Wildness is so variable between the seasons, if we score it at different places, different times, the statistics will be flawed.",NA,"19E_34",c(655917.359136304, 6865654.23942392),15476,"75119","751197519","93","Amérique 19","H",17020,1822,1447,374,533,300660,2844,97895,33,23713,0.495,4.7
"109","19e",34,0,0,"2","Even","July 2022",1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,4,1,3,8,3.33333333333333,1,3,2.44444444444444,NA,NA,"19E_34",c(655917.359136304, 6865654.23942392),15476,"75119","751197519","93","Amérique 19","H",17020,1822,1447,374,533,300660,2844,97895,33,23713,0.495,4.7
"110","19e",35,1,0,"2","Even","April 2025",2,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,2,2,3,7,1.66666666666667,2,3,2.22222222222222,NA,NA,"19E_35",c(654323.712877058, 6865258.48236601),15432,"75119","751197303","75","Villette 3","H",24760,3715,3251,465,802,75039,2800,21689,29,23713,0.495,4.7
"111","19e",36,1,0,"2","Odd","October 2025",2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,5,0,4,9,4.16666666666667,0,4,2.72222222222222,NA,NA,"19E_36",c(653637.9359846, 6865613.10585861),15437,"75119","751197308","75","Villette 8","H",14610,3134,2470,664,1130,66545,2805,13746,21,23713,0.495,4.7
"112","5e",1,0,0,"0","/","May 2025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"5E_1",c(652017.618304448, 6861575.28212816),14442,"75105","751052003","75","Sorbonne 3","H",33270,1676,1444,232,364,78583,2147,11014,14,40773,0.616,1.4
"113","5e",2,1,0,"2","Odd","May 2025",3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,4,1,3,8,3.333333333,1,3,2.444444444,"Vegetalised roof, trees and spontaneous small plants, so estimating the planting intervention was quite complicated. We're not considering trees, but the roof was defenety planted, but there's also wild spontaneous flowers and seedlings, so I still put 1.",NA,"5E_2",c(651641.16093185, 6861046.8843905),14520,"75106","751062204","75","Odéon 4","H",45670,2512,2195,316,408,122802,2155,7174,6,47878,0.67,1.1
"114","5e",3,1,0,"2","Odd","July 2024",3,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,5,1,4,10,4.166666667,1,4,3.055555556,"Grids around the tree base in almost every tree, overgrown (cant see on photo)",NA,"5E_3",c(652333.108004072, 6860230.52112992),14333,"75105","751051803","75","Jardin des Plantes 3","H",37280,1866,1633,233,299,57918,2131,7550,13,40773,0.616,1.4
"115","5e",4,0,0,"0","/","July 2025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"5E_4",c(651969.395234496, 6860006.68197143),14388,"75105","751051902","75","Val de Grâce 2","H",43170,1696,1556,140,224,135896,2138,46173,34,40773,0.616,1.4
"116","5e",5,0,0,"1","Odd","April 2021",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,6,2.5,1,2,1.833333333,NA,NA,"5E_5",c(651990.716437245, 6860808.23830345),14422,"75105","751052001","75","Sorbonne 1","H",35120,2535,2234,300,432,105565,2145,7135,7,40773,0.616,1.4
"117","5e",6,1,0,"2","Even","July 2025",4,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6,3,1,10,5,3,1,3,NA,NA,"5E_6",c(652680.194573346, 6859949.68430969),14995,"75113","751134906","75","Salpêtrière 6","H",38020,2388,2259,129,264,52295,2385,5513,11,27174,0.368,2.1
"118","5e",7,1,0,"2","Even","July 2020",4,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,6,2,1,9,5,2,1,2.666666667,NA,NA,"5E_7",c(652865.146223155, 6860037.13467569),14996,"75113","751134907","75","Salpêtrière 7","H",33600,2042,1834,208,318,62231,2386,8523,14,27174,0.368,2.1
"119","5e",8,0,0,"1","Even","June 2024",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,5,2.5,1,1,1.5,NA,NA,"5E_8",c(652134.257382646, 6860415.63557402),14403,"75105","751051907","75","Val de Grâce 7","H",42960,2313,1948,365,468,121610,2143,24847,20,40773,0.616,1.4
"120","5e",9,0,0,"1","Even","June 2022",2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,1,6,2.5,2,1,1.833333333,"Small pavemeny as irregular topography, with large spaces between one another",NA,"5E_9",c(651618.472330488, 6860263.13040461),14397,"75105","751051903","75","Val de Grâce 3","H",43540,2412,2077,335,434,62645,2139,5534,9,40773,0.616,1.4
"121","5e",10,0,0,"2","Odd","October 2022",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,5,2.5,0,2,1.5,NA,NA,"5E_10",c(652200.107054044, 6861280.21037617),14447,"75105","751052004","75","Sorbonne 4","H",38680,2959,2553,406,572,97722,2148,7843,8,40773,0.616,1.4
"122","5e",11,0,0,"0","/","June 2022",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"5E_11",c(652277.737630429, 6860458.93120587),14404,"75105","751051908","75","Val de Grâce 8","H",38130,2881,2410,471,529,83097,2144,10418,13,40773,0.616,1.4
"123","5e",12,1,0,"2","Even","May 2025",2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,4,0,4,8,3.333333333,0,4,2.444444444,NA,NA,"5E_12",c(653321.057766725, 6860503.80820424),781,"75113","751134908","75","Salpêtrière 8","A",NA,801,694,106,163,571958,96,99226,17,27174,0.368,2.1
"124","5e",13,1,0,"2","Even","July 2025",4,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,6,2,4,12,5,2,4,3.666666667,"The plants themselves are not obviously planted, but the context make them obviusly planted",NA,"5E_13",c(651846.582121294, 6859978.78985277),14388,"75105","751051902","75","Val de Grâce 2","H",43170,1696,1556,140,224,135896,2138,46173,34,40773,0.616,1.4
"125","5e",14,1,0,"2","Odd","May 2025",2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,0,4,6,1.666666667,0,4,1.888888889,NA,NA,"5E_14",c(652454.510506718, 6861250.31776396),14284,"75105","751051704","75","Saint-Victor 4","H",43520,2929,2597,332,450,86848,2127,7953,9,40773,0.616,1.4
"126","5e",15,1,0,"2","Even","April 2024",3,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,4,2,2,8,3.333333333,2,2,2.444444444,"Same for the planted vegetation",NA,"5E_15",c(652404.508030955, 6861059.46776086),14244,"75105","751051701","75","Saint-Victor 1","H",38680,2226,1901,324,409,60480,2124,7978,13,40773,0.616,1.4
"127","5e",16,0,0,"1","Even","May 2025",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333,1,2,1.277777778,NA,NA,"5E_16",c(652091.841644563, 6860700.65162225),14403,"75105","751051907","75","Val de Grâce 7","H",42960,2313,1948,365,468,121610,2143,24847,20,40773,0.616,1.4
"128","5e",17,0,0,"1","Even","June 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,3,0.833333333,1,1,0.944444444,NA,NA,"5E_17",c(651656.708913262, 6860447.39894855),14400,"75105","751051904","75","Val de Grâce 4","H",52690,1917,1622,295,308,61787,2140,12190,20,40773,0.616,1.4
"129","5e",18,0,0,"1","/","July 2025",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333,1,2,1.277777778,NA,NA,"5E_18",c(652334.470871618, 6860039.25096511),14333,"75105","751051803","75","Jardin des Plantes 3","H",37280,1866,1633,233,299,57918,2131,7550,13,40773,0.616,1.4
"130","5e",19,0,0,"1","Odd","June 2022",2,1,1,0,0,0,0,0,1,0,0,0,NA,0,0,1,1,2,1,2,5,1.666666667,1,2,1.555555556,NA,NA,"5E_19",c(652224.3060754, 6860921.9533962),14422,"75105","751052001","75","Sorbonne 1","H",35120,2535,2234,300,432,105565,2145,7135,7,40773,0.616,1.4
"131","5e",20,0,0,"1","Even","July 2025",2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,5,2.5,1,1,1.5,NA,NA,"5E_20",c(652317.712200986, 6861124.67613648),14284,"75105","751051704","75","Saint-Victor 4","H",43520,2929,2597,332,450,86848,2127,7953,9,40773,0.616,1.4
